ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-02-05,47039487.47580418,43218353.24129449,52253745.709068045,47039487.47580418,47039487.47580418,707776.6666049198,707776.6666049198,707776.6666049198,707776.6666049198,707776.6666049198,707776.6666049198,0.0,0.0,0.0,47747264.1424091
2010-02-12,47040168.31783523,44025635.520338655,52775224.43178209,47040168.31783523,47040168.31783523,1420877.0905031303,1420877.0905031303,1420877.0905031303,1420877.0905031303,1420877.0905031303,1420877.0905031303,0.0,0.0,0.0,48461045.40833836
2010-02-19,47040849.159866266,42515977.78816501,51339743.36989661,47040849.159866266,47040849.159866266,47340.55463546453,47340.55463546453,47340.55463546453,47340.55463546453,47340.55463546453,47340.55463546453,0.0,0.0,0.0,47088189.71450173
2010-02-26,47041530.00189731,41282107.17292649,50004700.83102446,47041530.00189731,47041530.00189731,-1165184.1457142574,-1165184.1457142574,-1165184.1457142574,-1165184.1457142574,-1165184.1457142574,-1165184.1457142574,0.0,0.0,0.0,45876345.85618305
2010-03-05,47042210.84392836,41130572.2036629,49981605.416703485,47042210.84392836,47042210.84392836,-1442860.1030208676,-1442860.1030208676,-1442860.1030208676,-1442860.1030208676,-1442860.1030208676,-1442860.1030208676,0.0,0.0,0.0,45599350.74090749
2010-03-12,47042891.6859594,40763808.37914624,50316257.79734959,47042891.6859594,47042891.6859594,-1502057.4446258836,-1502057.4446258836,-1502057.4446258836,-1502057.4446258836,-1502057.4446258836,-1502057.4446258836,0.0,0.0,0.0,45540834.241333514
2010-03-19,47043572.528958306,40660658.67332323,49556924.50879715,47043572.528958306,47043572.528958306,-1850527.8899101985,-1850527.8899101985,-1850527.8899101985,-1850527.8899101985,-1850527.8899101985,-1850527.8899101985,0.0,0.0,0.0,45193044.63904811
2010-03-26,47044253.37195721,40525590.62238684,49689772.291123,47044253.37195721,47044253.37195721,-1967373.4562772806,-1967373.4562772806,-1967373.4562772806,-1967373.4562772806,-1967373.4562772806,-1967373.4562772806,0.0,0.0,0.0,45076879.91567993
2010-04-02,47044934.21495612,41172777.177771635,50285227.34910903,47044934.21495612,47044934.21495612,-1284249.3864000288,-1284249.3864000288,-1284249.3864000288,-1284249.3864000288,-1284249.3864000288,-1284249.3864000288,0.0,0.0,0.0,45760684.82855609
2010-04-09,47045615.05795503,42237851.64733842,51485676.08004475,47045615.05795503,47045615.05795503,-322156.8232248932,-322156.8232248932,-322156.8232248932,-322156.8232248932,-322156.8232248932,-322156.8232248932,0.0,0.0,0.0,46723458.23473013
2010-04-16,47046295.909136176,42393270.48620113,51286574.35839673,47046295.909136176,47046295.909136176,-243815.41013165232,-243815.41013165232,-243815.41013165232,-243815.41013165232,-243815.41013165232,-243815.41013165232,0.0,0.0,0.0,46802480.49900452
2010-04-23,47046976.76031732,41037189.0304476,49918754.42103418,47046976.76031732,47046976.76031732,-1352074.4255073518,-1352074.4255073518,-1352074.4255073518,-1352074.4255073518,-1352074.4255073518,-1352074.4255073518,0.0,0.0,0.0,45694902.33480997
2010-04-30,47047657.611498475,40104250.41148071,48913928.93348652,47047657.611498475,47047657.611498475,-2551693.8042724626,-2551693.8042724626,-2551693.8042724626,-2551693.8042724626,-2551693.8042724626,-2551693.8042724626,0.0,0.0,0.0,44495963.80722601
2010-05-07,47048338.462679625,40140549.94441009,48716968.33715002,47048338.462679625,47048338.462679625,-2553878.6667138683,-2553878.6667138683,-2553878.6667138683,-2553878.6667138683,-2553878.6667138683,-2553878.6667138683,0.0,0.0,0.0,44494459.79596575
2010-05-14,47049019.313860774,41585697.77253283,50406334.40476808,47049019.313860774,47049019.313860774,-1339494.5584420823,-1339494.5584420823,-1339494.5584420823,-1339494.5584420823,-1339494.5584420823,-1339494.5584420823,0.0,0.0,0.0,45709524.75541869
2010-05-21,47049700.16090319,42389496.951210044,51395888.61190254,47049700.16090319,47049700.16090319,-79387.52402411861,-79387.52402411861,-79387.52402411861,-79387.52402411861,-79387.52402411861,-79387.52402411861,0.0,0.0,0.0,46970312.63687907
2010-05-28,47050381.007945605,42743166.35892315,51658137.41867664,47050381.007945605,47050381.007945605,307170.27118869044,307170.27118869044,307170.27118869044,307170.27118869044,307170.27118869044,307170.27118869044,0.0,0.0,0.0,47357551.279134296
2010-06-04,47051061.854988016,42918215.532362886,51660662.805906706,47051061.854988016,47051061.854988016,106419.01039318692,106419.01039318692,106419.01039318692,106419.01039318692,106419.01039318692,106419.01039318692,0.0,0.0,0.0,47157480.8653812
2010-06-11,47051742.70203042,42874663.82282934,51539364.04950213,47051742.70203042,47051742.70203042,174127.74535849004,174127.74535849004,174127.74535849004,174127.74535849004,174127.74535849004,174127.74535849004,0.0,0.0,0.0,47225870.44738891
2010-06-18,47052423.54960885,43076170.57549213,51958161.238800354,47052423.54960885,47052423.54960885,686064.3265879101,686064.3265879101,686064.3265879101,686064.3265879101,686064.3265879101,686064.3265879101,0.0,0.0,0.0,47738487.87619676
2010-06-25,47053104.39718727,43469413.41430996,52230756.179693766,47053104.39718727,47053104.39718727,934510.1631855692,934510.1631855692,934510.1631855692,934510.1631855692,934510.1631855692,934510.1631855692,0.0,0.0,0.0,47987614.56037284
2010-07-02,47053785.2447657,42869714.32974302,51873757.85049343,47053785.2447657,47053785.2447657,338922.78642713884,338922.78642713884,338922.78642713884,338922.78642713884,338922.78642713884,338922.78642713884,0.0,0.0,0.0,47392708.03119284
2010-07-09,47054466.09234411,41809341.70756311,50688591.17397562,47054466.09234411,47054466.09234411,-753367.6365293076,-753367.6365293076,-753367.6365293076,-753367.6365293076,-753367.6365293076,-753367.6365293076,0.0,0.0,0.0,46301098.45581481
2010-07-16,47055146.93992255,41273148.43171901,49911326.930345245,47055146.93992255,47055146.93992255,-1512073.7847472809,-1512073.7847472809,-1512073.7847472809,-1512073.7847472809,-1512073.7847472809,-1512073.7847472809,0.0,0.0,0.0,45543073.15517527
2010-07-23,47055827.789024696,41128135.54806897,49617140.30491836,47055827.789024696,47055827.789024696,-1622115.1624803687,-1622115.1624803687,-1622115.1624803687,-1622115.1624803687,-1622115.1624803687,-1622115.1624803687,0.0,0.0,0.0,45433712.62654433
2010-07-30,47056508.63812684,40802581.61008061,49733723.64833262,47056508.63812684,47056508.63812684,-1464742.5070309811,-1464742.5070309811,-1464742.5070309811,-1464742.5070309811,-1464742.5070309811,-1464742.5070309811,0.0,0.0,0.0,45591766.131095864
2010-08-06,47057189.48722899,41399351.64979999,50328428.51260074,47057189.48722899,47057189.48722899,-1350384.8442178506,-1350384.8442178506,-1350384.8442178506,-1350384.8442178506,-1350384.8442178506,-1350384.8442178506,0.0,0.0,0.0,45706804.64301114
2010-08-13,47057870.33633114,41428809.44226715,50364234.44994414,47057870.33633114,47057870.33633114,-1036721.073247921,-1036721.073247921,-1036721.073247921,-1036721.073247921,-1036721.073247921,-1036721.073247921,0.0,0.0,0.0,46021149.26308321
2010-08-20,47058551.19585761,42119145.23769843,50964619.57586682,47058551.19585761,47058551.19585761,-310949.22204357607,-310949.22204357607,-310949.22204357607,-310949.22204357607,-310949.22204357607,-310949.22204357607,0.0,0.0,0.0,46747601.97381403
2010-08-27,47059232.055384085,42958017.792963766,51524236.77163732,47059232.055384085,47059232.055384085,237426.31845190536,237426.31845190536,237426.31845190536,237426.31845190536,237426.31845190536,237426.31845190536,0.0,0.0,0.0,47296658.37383599
2010-09-03,47059912.91491055,41705748.3961784,50954127.08391024,47059912.91491055,47059912.91491055,-403824.6040887272,-403824.6040887272,-403824.6040887272,-403824.6040887272,-403824.6040887272,-403824.6040887272,0.0,0.0,0.0,46656088.310821824
2010-09-10,47060593.77443702,40188083.18073787,49209087.53033712,47060593.77443702,47060593.77443702,-2341290.035612081,-2341290.035612081,-2341290.035612081,-2341290.035612081,-2341290.035612081,-2341290.035612081,0.0,0.0,0.0,44719303.738824934
2010-09-17,47061274.63396349,38398530.434438705,47744282.88297877,47061274.63396349,47061274.63396349,-4236843.633091518,-4236843.633091518,-4236843.633091518,-4236843.633091518,-4236843.633091518,-4236843.633091518,0.0,0.0,0.0,42824431.00087197
2010-09-24,47062030.565539464,37716059.58493219,46796122.54346116,47062030.565539464,47062030.565539464,-4561886.276331209,-4561886.276331209,-4561886.276331209,-4561886.276331209,-4561886.276331209,-4561886.276331209,0.0,0.0,0.0,42500144.289208256
